mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.63,0.75,0.55,0.68,11,3069,0.31999999999999995,3069_11
0.65,0.54,0.56,0.55,11,3070,0.44999999999999996,3070_11
0.92,0.97,0.92,0.94,11,3071,0.06000000000000005,3071_11
0.65,0.53,0.71,0.56,11,3072,0.43999999999999995,3072_11
0.54,0.39,0.49,0.55,11,3073,0.44999999999999996,3073_11
0.82,0.69,0.35,0.41,11,3074,0.5900000000000001,3074_11
0.59,0.63,0.59,0.72,11,3075,0.28,3075_11
0.95,0.93,0.98,1.0,11,3076,0.0,3076_11
0.39,0.41,0.6,0.21,11,3077,0.79,3077_11
0.63,0.64,0.61,0.42,11,3078,0.5800000000000001,3078_11
0.9,,0.92,0.92,12,3051,0.07999999999999996,3051_12
0.76,,0.65,0.78,12,3053,0.21999999999999997,3053_12
0.7,,0.58,0.53,12,3054,0.47,3054_12
0.73,,0.59,0.71,12,3055,0.29000000000000004,3055_12
0.34,,0.81,0.21,12,3056,0.79,3056_12
0.67,,0.67,0.56,12,3057,0.43999999999999995,3057_12
0.57,,0.57,0.56,12,3058,0.43999999999999995,3058_12
0.86,,0.91,0.07,12,3059,0.9299999999999999,3059_12
0.66,,0.32,0.41,12,3060,0.5900000000000001,3060_12
0.73,,0.76,0.42,12,3061,0.5800000000000001,3061_12
0.75,,1.0,1.0,12,3062,0.0,3062_12
0.71,,0.73,0.53,12,3063,0.47,3063_12
0.59,,0.63,0.63,12,3064,0.37,3064_12
0.71,,0.99,0.6,12,3065,0.4,3065_12
0.67,,0.92,1.0,12,3066,0.0,3066_12
0.58,,0.57,0.44,12,3067,0.56,3067_12
0.7,,0.7,0.73,12,3068,0.27,3068_12
0.71,,0.76,0.62,12,3069,0.38,3069_12
0.6,,0.57,0.55,12,3070,0.44999999999999996,3070_12
0.98,,0.93,0.97,12,3071,0.030000000000000027,3071_12
0.58,,0.59,0.38,12,3072,0.62,3072_12
0.77,,0.49,0.59,12,3073,0.41000000000000003,3073_12
0.25,,0.31,0.06,12,3074,0.94,3074_12
0.68,,0.89,0.77,12,3075,0.22999999999999998,3075_12
0.96,,1.0,0.99,12,3076,0.010000000000000009,3076_12
0.31,,0.39,0.13,12,3077,0.87,3077_12
0.61,,0.79,0.59,12,3078,0.41000000000000003,3078_12
1.0,1.0,1.0,1.0,13,3051,0.0,3051_13
0.45,0.61,0.73,0.43,13,3053,0.5700000000000001,3053_13
0.68,0.61,0.66,0.36,13,3054,0.64,3054_13
0.83,0.72,0.36,0.81,13,3055,0.18999999999999995,3055_13
0.8,0.92,0.92,0.4,13,3056,0.6,3056_13
0.71,0.73,0.72,0.68,13,3057,0.31999999999999995,3057_13
0.61,0.76,0.59,0.37,13,3058,0.63,3058_13
0.89,0.58,0.9,0.16,13,3059,0.84,3059_13
0.67,0.91,0.65,0.65,13,3060,0.35,3060_13
0.72,0.74,0.73,0.63,13,3061,0.37,3061_13
0.72,0.7,0.72,0.68,13,3062,0.31999999999999995,3062_13
0.58,0.67,0.71,0.61,13,3063,0.39,3063_13
0.7,0.57,0.77,0.8,13,3064,0.19999999999999996,3064_13
0.34,0.55,0.64,0.43,13,3065,0.5700000000000001,3065_13
0.68,1.0,1.0,0.83,13,3066,0.17000000000000004,3066_13
0.46,0.42,0.45,0.34,13,3067,0.6599999999999999,3067_13
0.62,0.6,0.75,0.59,13,3068,0.41000000000000003,3068_13
0.73,0.76,0.67,0.62,13,3069,0.38,3069_13
0.58,0.54,0.46,0.54,13,3070,0.45999999999999996,3070_13
0.95,1.0,0.96,0.92,13,3071,0.07999999999999996,3071_13
0.58,0.59,0.61,0.38,13,3072,0.62,3072_13
0.33,0.28,0.51,0.37,13,3073,0.63,3073_13
0.7,0.71,0.71,0.61,13,3074,0.39,3074_13
