userID,sessionID_x,Dsubj_optout_oo
3069.0,19.0,67.5
3070.0,19.0,16.25
3071.0,19.0,12.5
3072.0,19.0,16.25
3073.0,19.0,38.75
3074.0,19.0,1.25
3075.0,19.0,46.25
3076.0,19.0,45.0
3077.0,19.0,23.75
3078.0,19.0,17.5
3051.0,20.0,22.5
3053.0,20.0,35.0
3054.0,20.0,16.25
3055.0,20.0,37.5
3056.0,20.0,8.75
3057.0,20.0,15.0
3058.0,20.0,17.5
3059.0,20.0,72.5
3060.0,20.0,36.25
3061.0,20.0,23.75
3062.0,20.0,1.25
3063.0,20.0,18.75
3064.0,20.0,7.5
3065.0,20.0,23.75
3066.0,20.0,3.75
3067.0,20.0,27.5
3068.0,20.0,0.0
3069.0,20.0,65.0
3070.0,20.0,7.5
3071.0,20.0,21.25
3072.0,20.0,16.25
3073.0,20.0,28.75
3074.0,20.0,0.0
3075.0,20.0,43.75
3076.0,20.0,21.25
3077.0,20.0,15.0
3078.0,20.0,25.0
3074.0,5.0,
3069.0,10.0,
