mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.71,,0.59,0.41,10,1003,0.5900000000000001,1003_10
0.72,,1.0,0.81,10,1005,0.18999999999999995,1005_10
0.65,,0.66,0.43,10,1006,0.5700000000000001,1006_10
0.4,,0.58,0.34,10,1007,0.6599999999999999,1007_10
0.59,,0.56,0.52,10,1008,0.48,1008_10
0.0,,0.0,0.49,10,1009,0.51,1009_10
0.81,,1.0,0.87,10,1010,0.13,1010_10
0.51,,0.48,0.49,10,1011,0.51,1011_10
0.58,,0.59,0.45,10,1012,0.55,1012_10
0.66,,0.69,0.65,10,1013,0.35,1013_10
1.0,,1.0,0.83,10,1014,0.17000000000000004,1014_10
0.62,0.56,0.62,0.37,11,991,0.63,991_11
0.84,0.81,0.69,0.73,11,992,0.27,992_11
0.71,0.63,0.56,0.39,11,993,0.61,993_11
0.88,0.43,0.66,0.45,11,994,0.55,994_11
0.42,0.66,0.68,0.64,11,995,0.36,995_11
0.92,0.89,0.91,0.92,11,996,0.07999999999999996,996_11
0.0,0.33,0.33,0.0,11,997,1.0,997_11
0.61,0.56,0.65,0.35,11,998,0.65,998_11
0.53,0.66,0.58,0.59,11,999,0.41000000000000003,999_11
0.71,0.66,0.7,0.64,11,1000,0.36,1000_11
0.28,0.74,0.75,0.29,11,1001,0.71,1001_11
0.6,0.14,0.67,0.44,11,1002,0.56,1002_11
0.71,0.67,0.61,0.43,11,1003,0.5700000000000001,1003_11
0.94,1.0,1.0,0.89,11,1005,0.10999999999999999,1005_11
0.79,1.0,0.81,0.82,11,1006,0.18000000000000005,1006_11
0.53,0.54,0.59,0.45,11,1007,0.55,1007_11
0.53,0.43,0.58,0.46,11,1008,0.54,1008_11
0.4,0.25,0.48,0.49,11,1009,0.51,1009_11
0.91,0.83,1.0,0.84,11,1010,0.16000000000000003,1010_11
0.49,0.47,0.58,0.38,11,1012,0.62,1012_11
0.67,0.43,0.65,0.54,11,1013,0.45999999999999996,1013_11
1.0,0.34,1.0,0.65,11,1014,0.35,1014_11
0.61,,0.59,0.44,12,991,0.56,991_12
0.82,,0.53,0.25,12,992,0.75,992_12
0.61,,0.62,0.57,12,993,0.43000000000000005,993_12
1.0,,0.99,0.59,12,994,0.41000000000000003,994_12
0.58,,0.77,0.78,12,995,0.21999999999999997,995_12
0.6,,0.79,0.51,12,996,0.49,996_12
0.21,,0.05,0.0,12,997,1.0,997_12
0.65,,0.8,0.63,12,998,0.37,998_12
0.37,,0.63,0.36,12,999,0.64,999_12
0.68,,0.69,0.62,12,1000,0.38,1000_12
0.3,,0.72,0.32,12,1001,0.6799999999999999,1001_12
0.41,,0.56,0.29,12,1002,0.71,1002_12
0.67,,0.81,0.6,12,1003,0.4,1003_12
0.75,,0.73,0.81,12,1005,0.18999999999999995,1005_12
1.0,,1.0,1.0,12,1006,0.0,1006_12
0.58,,0.56,0.56,12,1007,0.43999999999999995,1007_12
0.44,,0.55,0.4,12,1008,0.6,1008_12
0.64,,0.61,0.54,12,1009,0.45999999999999996,1009_12
0.94,,1.0,0.85,12,1010,0.15000000000000002,1010_12
0.92,,0.68,0.88,12,1011,0.12,1011_12
0.71,,0.78,0.78,12,1012,0.21999999999999997,1012_12
0.59,,0.54,0.53,12,1013,0.47,1013_12
0.7,0.63,0.64,0.65,13,991,0.35,991_13
0.88,0.65,0.86,0.87,13,992,0.13,992_13
0.57,0.57,0.55,0.59,13,993,0.41000000000000003,993_13
1.0,0.9,0.74,0.41,13,994,0.5900000000000001,994_13
0.7,0.49,0.7,0.72,13,995,0.28,995_13
0.66,0.67,1.0,0.56,13,996,0.43999999999999995,996_13
0.13,0.31,0.21,0.0,13,997,1.0,997_13
0.6,0.65,0.54,0.3,13,998,0.7,998_13
0.55,0.62,0.56,0.44,13,999,0.56,999_13
0.65,0.75,0.67,0.64,13,1000,0.36,1000_13
0.58,0.24,0.69,0.68,13,1001,0.31999999999999995,1001_13
0.56,0.57,0.55,0.54,13,1002,0.45999999999999996,1002_13
0.65,0.66,0.67,0.46,13,1003,0.54,1003_13
0.75,1.0,1.0,0.66,13,1005,0.33999999999999997,1005_13
1.0,1.0,1.0,0.92,13,1006,0.07999999999999996,1006_13
0.61,0.66,0.6,0.59,13,1007,0.41000000000000003,1007_13
0.52,0.54,0.53,0.48,13,1008,0.52,1008_13
0.53,0.25,0.68,0.39,13,1009,0.61,1009_13
1.0,0.95,1.0,1.0,13,1010,0.0,1010_13
0.73,0.75,0.76,0.78,13,1011,0.21999999999999997,1011_13
0.67,0.56,0.81,0.61,13,1012,0.39,1012_13
0.63,0.62,0.66,0.53,13,1013,0.47,1013_13
0.73,0.32,1.0,0.2,13,1014,0.8,1014_13
0.58,,0.57,0.49,14,991,0.51,991_14
0.88,,0.87,0.87,14,992,0.13,992_14
0.56,,0.57,0.36,14,993,0.64,993_14
1.0,,1.0,0.98,14,994,0.020000000000000018,994_14
0.73,,0.55,0.61,14,995,0.39,995_14
0.74,,0.95,0.6,14,996,0.4,996_14
0.0,,0.0,0.0,14,997,1.0,997_14
0.62,,0.63,0.35,14,998,0.65,998_14
0.34,,0.43,0.26,14,999,0.74,999_14
0.63,,0.67,0.66,14,1000,0.33999999999999997,1000_14
0.78,,0.78,0.29,14,1001,0.71,1001_14
0.43,,0.56,0.37,14,1002,0.63,1002_14
0.61,,0.61,0.4,14,1003,0.6,1003_14
0.81,,1.0,0.86,14,1005,0.14,1005_14
0.85,,0.61,0.11,14,1006,0.89,1006_14
0.42,,0.46,0.32,14,1007,0.6799999999999999,1007_14
0.54,,0.57,0.51,14,1008,0.49,1008_14
0.57,,0.58,0.29,14,1009,0.71,1009_14
0.85,,1.0,0.65,14,1010,0.35,1010_14
0.78,,0.78,0.78,14,1011,0.21999999999999997,1011_14
0.65,,0.78,0.63,14,1012,0.37,1012_14
0.64,,0.53,0.55,14,1013,0.44999999999999996,1013_14
0.88,,1.0,0.27,14,1014,0.73,1014_14
0.45,0.56,0.64,0.69,15,991,0.31000000000000005,991_15
0.8,0.54,0.39,0.43,15,992,0.5700000000000001,992_15
0.54,0.53,0.58,0.46,15,993,0.54,993_15
1.0,0.41,1.0,1.0,15,994,0.0,994_15
0.6,0.56,0.61,0.63,15,995,0.37,995_15
0.66,0.8,0.79,0.66,15,996,0.33999999999999997,996_15
0.0,0.0,0.0,0.0,15,997,1.0,997_15
0.57,0.67,0.82,0.41,15,998,0.5900000000000001,998_15
0.59,0.37,0.49,0.44,15,999,0.56,999_15
0.68,0.61,0.64,0.59,15,1000,0.41000000000000003,1000_15
0.68,0.85,0.78,0.28,15,1001,0.72,1001_15
0.42,0.58,0.6,0.44,15,1002,0.56,1002_15
0.64,0.61,0.65,0.55,15,1003,0.44999999999999996,1003_15
0.94,1.0,1.0,0.94,15,1005,0.06000000000000005,1005_15
1.0,1.0,0.57,1.0,15,1006,0.0,1006_15
0.6,0.6,0.6,0.58,15,1007,0.42000000000000004,1007_15
0.52,0.66,0.68,0.46,15,1008,0.54,1008_15
1.0,0.72,0.7,0.48,15,1009,0.52,1009_15
0.94,0.92,1.0,0.87,15,1010,0.13,1010_15
1.0,0.97,0.67,1.0,15,1011,0.0,1011_15
0.57,0.55,0.59,0.44,15,1012,0.56,1012_15
0.59,0.63,0.61,0.6,15,1013,0.4,1013_15
0.94,0.75,1.0,0.49,15,1014,0.51,1014_15
0.62,,0.52,0.56,16,991,0.43999999999999995,991_16
0.26,,0.11,0.11,16,992,0.89,992_16
0.57,,0.57,0.54,16,993,0.45999999999999996,993_16
1.0,,0.96,1.0,16,994,0.0,994_16
0.57,,0.46,0.65,16,995,0.35,995_16
0.83,,0.66,0.64,16,996,0.36,996_16
0.0,,0.0,0.0,16,997,1.0,997_16
0.53,,0.52,0.39,16,998,0.61,998_16
0.44,,0.44,0.29,16,999,0.71,999_16
0.4,,0.6,0.35,16,1000,0.65,1000_16
0.79,,0.84,0.67,16,1001,0.32999999999999996,1001_16
0.58,,0.58,0.35,16,1002,0.65,1002_16
0.58,,0.59,0.32,16,1003,0.6799999999999999,1003_16
0.75,,0.89,0.91,16,1005,0.08999999999999997,1005_16
0.91,,0.88,0.88,16,1006,0.12,1006_16
0.62,,0.61,0.63,16,1007,0.37,1007_16
0.61,,0.61,0.52,16,1008,0.48,1008_16
0.84,,0.61,0.33,16,1009,0.6699999999999999,1009_16
